district,enrollment_1920,low_income_1920,el_1920,pct_low_income_1920,state_revenue_pp_1819,local_revenue_pp_1819,state_local_revenue_pp_1819,opp_fund_1920,opp_fund_pp_1920,state_local_revenue_opp_fund_pp
Appoquinimink,11737,1347,358,0.11476527221606884,9221,4664,13885,584100,49.765698219306465,13934.765698219306
Brandywine,10548,3001,536,0.28450891164201747,9231,8251,17482,1135000,107.60333712552142,17589.60333712552
Caesar Rodney,7695,2198,311,0.28564002599090316,9243,2734,11977,814000,105.78297595841455,12082.782975958415
Cape Henlopen,5860,1462,444,0.24948805460750853,11009,9749,20758,660000,112.62798634812286,20870.62798634812
Capital,6605,3074,447,0.46540499621498865,11679,4216,15895,1146200,173.53520060560183,16068.535200605602
Christina,14003,5840,1955,0.41705348853817037,8957,6666,15623,2731500,195.06534314075554,15818.065343140755
Colonial,9921,3709,1255,0.3738534421933273,9358,6597,15955,1702000,171.55528676544702,16126.555286765448
Delmar,1405,189,50,0.13451957295373665,8787,1670,10457,81700,58.14946619217082,10515.149466192172
Indian River,10942,3434,2174,0.3138365929446171,9126,5056,14182,2117205,193.4934198501188,14375.49341985012
Lake Forest,3721,1462,96,0.39290513302875574,9983,3098,13081,486600,130.77129803816177,13211.771298038162
Laurel,2645,1074,320,0.40604914933837427,9260,2723,11983,482700,182.4952741020794,12165.495274102079
Milford,4301,1736,701,0.40362706347361077,9938,3219,13157,871300,202.58079516391535,13359.580795163914
NCC Votech,4669,1257,137,0.2692225315913472,12204,7921,20125,405000,86.74234311415721,20211.742343114158
Polytech,1192,206,3,0.17281879194630873,11585,5597,17182,63300,53.104026845637584,17235.104026845638
Red Clay,15520,5333,2476,0.34362113402061856,8975,7329,16304,2800000,180.41237113402062,16484.41237113402
Seaford,3516,1584,635,0.45051194539249145,10928,2762,13690,793290,225.62286689419795,13915.622866894199
Smyrna,5882,1388,107,0.23597415844950698,10287,2678,12965,470900,80.05780346820809,13045.057803468208
Sussex Technical,1241,206,8,0.16599516518936341,11889,9027,20916,89582,72.1853344077357,20988.185334407735
Woodbridge,2594,1064,327,0.41017733230531994,10894,3578,14472,482700,186.08326908249808,14658.083269082497
