district,state_revenue_pp,local_revenue_pp,state_local_revenue_pp
Appoquinimink,9221,4664,13885
Brandywine,9231,8251,17482
Christina,8957,6666,15623
Del Autistic,57708,27039,84747
Margaret S. Sterck,78071,38096,116167
R.E.A.C.H,45989,11570,57559
Christina ILC,141806,60125,201931
Colonial,9358,6597,15955
Data Service Center,0,0,0
John G. Leach,107377,50047,157424
NCC Votech,12204,7921,20125
Red Clay,8975,7329,16304
Meadowood,48651,29068,77719
Red Clay ILC,24666,17173,41839
COUNTY TOTALS,10253,7243,17496
Caesar Rodney,9243,2734,11977
John S. Charlton,58778,15596,74374
Dover Air Base,0,19280,19280
Capital,11679,4216,15895
Polytech,11585,5597,17182
Lake Forest,9983,3098,13081
Milford,9938,3219,13157
Smyrna,10287,2678,12965
COUNTY TOTALS,10485,3644,14129
Cape Henlopen,11009,9749,20758
Delmar,8787,1670,10457
Indian River,9126,5056,14182
Howard T. Ennis,62890,15561,78451
Laurel,9260,2723,11983
Seaford,10928,2762,13690
Sussex Technical,11889,9027,20916
Woodbridge,10894,3578,14472
COUNTY TOTALS,10280,5440,15720
CHARTER TOTALS,8212,4825,13037
TOTAL ALL DISTRICTS,10074,5856,15930
Department of Education,0,0,0
TOTAL ALL DISTRICTS & DOE,10797,5932,16729
